longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,population_per_household,bedrooms_per_room
-122.23,37.88,41,880,129,322,126,8.3252,452600.0,NEAR BAY,6.984126984126984,2.5555555555555554,0.14659090909090908
-122.22,37.86,21,7099,1106,2401,1138,8.3014,358500.0,NEAR BAY,6.238137082601054,2.109841827768014,0.15579659106916466
-122.24,37.85,52,1467,190,496,177,7.2574,352100.0,NEAR BAY,8.288135593220339,2.8022598870056497,0.12951601908657123
-122.25,37.85,52,1274,235,558,219,5.6431000000000004,341300.0,NEAR BAY,5.8173515981735155,2.547945205479452,0.18445839874411302
-122.25,37.85,52,1627,280,565,259,3.8462,342200.0,NEAR BAY,6.281853281853282,2.1814671814671813,0.1720958819913952
-122.25,37.85,52,919,213,413,193,4.0368,269700.0,NEAR BAY,4.761658031088083,2.139896373056995,0.23177366702937977
-122.25,37.84,52,2535,489,1094,514,3.6591,299200.0,NEAR BAY,4.9319066147859925,2.1284046692607004,0.19289940828402366
-122.25,37.84,52,3104,687,1157,647,3.12,241400.0,NEAR BAY,4.797527047913447,1.7882534775888717,0.22132731958762886
-122.26,37.84,42,2555,665,1206,595,2.0804,226700.0,NEAR BAY,4.294117647058823,2.026890756302521,0.2602739726027397
-122.25,37.84,52,3549,707,1551,714,3.6912000000000003,261100.0,NEAR BAY,4.970588235294118,2.172268907563025,0.1992110453648915
-118.3,34.05,25,3200,640,1200,560,4.5,350000.0,NEAR OCEAN,5.714285714285714,2.142857142857143,0.2
-118.35,34.02,30,4100,800,1600,720,3.8,320000.0,NEAR OCEAN,5.694444444444445,2.2222222222222223,0.1951219512195122
-118.4,33.98,15,5600,1100,2200,900,5.2,480000.0,NEAR OCEAN,6.222222222222222,2.4444444444444446,0.19642857142857142
-118.2,34.1,40,2800,550,1100,500,6.1,410000.0,NEAR OCEAN,5.6,2.2,0.19642857142857142
-118.25,34.08,35,3600,720,1400,650,4.9,390000.0,NEAR OCEAN,5.538461538461538,2.1538461538461537,0.2
-117.8,33.75,10,7200,1400,2800,1100,6.8,520000.0,<1H OCEAN,6.545454545454546,2.5454545454545454,0.19444444444444445
-117.85,33.8,12,6500,1280,2500,1050,6.2,490000.0,<1H OCEAN,6.190476190476191,2.380952380952381,0.19692307692307692
-117.9,33.82,8,8100,1600,3200,1250,7.1,560000.0,<1H OCEAN,6.48,2.56,0.19753086419753085
